titre,text,label
“Trop is  te veel” pour les étudiants,"«Il fait 15 degrés en classe». Voici le témoignage que j'ai relayé ici il y a maintenant un mois et que, malheureusement, personne au sein de notre Assemblée n’a entendu. Depuis lors, je reçois des centaines de réactions qui prouvent que les étudiants sont totalement abandonnés par ce gouvernement, à la veille de leurs examens et face à la crise énergétique. Je voudrais donc relayer d’autres témoignages. Fiona, de Mons, m'écrit qu'«il fait 14 degrés en auditoire et en bibli. On garde nos vestes, nos écharpes et même nos gants». Anthony, de Bruxelles, nous explique que «notre prof a même son propre chauffage d’appoint parce qu’il y a 12 degrés et on n’arrive même plus à  écrire».  Madame la Ministre, j’ai un scoop: les températures continueront à baisser. Pendant que, comme je l’imagine, vous me ferez la liste de tout ce que vous avez fait, mais qui est visiblement insuffisant, il continuera de faire froid dans les auditoires, dans les kots, à la maison. Les jeunes, de plus en plus nombreux, continueront à cumuler des jobs et leurs études parce que les parents ne s’en  sortent tout simplement pas. CRI N°7 Les étudiants n’acceptent plus cette situation. Ils refusent qu’on leur dise qu’ils vivront moins bien que leurs parents. Ils ont raison, car la crise ne touche pas tout le monde. Ce n’est pas la crise pour les dirigeants dont vous faites partie, Madame la Ministre, avec vos 10 000 euros et vos locaux bien chauffés. Ce n’est pas la crise non plus pour les multinationales à qui vous permettez de réaliser un braquage des étudiants et des familles, au nom du profit à tout prix. Tout cela, les jeunes ne l’acceptent plus. Ils se sont mobilisés ce lundi, avec le collectif «Trop is te veel», pour demander des mesures fortes, c’est-à-dire autre chose que  les mesures actuelles prévues pour lutter contre l’explosion des prix de l’énergie. Avez-vous reçu les étudiants? Que leur avez-vous répondu?",Enseignement supérieur et Promotion Sociale 
La ménopause n’est pas taoue,"La ménopause, liée au vieillissement, est un sujet encore beaucoup trop tabou dans notre société, alors que deux millions de femmes sont concernées en Belgique. Ce tabou entraîne une méconnaissance de ce phénomène naturel par les femmes ménopausées elles-mêmes, mais aussi par une partie du personnel soignant et par le grand public. Je profite du lancement d’un débat au Parlement fédéral sur cette question, ainsi que de l’organisation d'auditions sur ce sujet en Comité d’avis pour l’égalité des chances entre les  femmes et les hommes, pour aborder ce sujet avec vous.  Madame la Ministre, quelles actions la Fédération Wallonie-Bruxelles déploie-telle pour sensibiliser le grand public à cette question? Comment soutenez-vous CRI N°16 les associations qui traitent de la ménopause en Fédération Wallonie-Bruxelles ? Comment le Plan «Droits des femmes» aborde-t-il la ménopause? Ce sujet a-t-il  déjà été ou sera-t-il un jour abordé au sein de la conférence interministérielle  Santé ?",Interculturalité et Egalité des Chances 
Les streameuses dénoncent les violences en ligne dont elles sont victimes,"Maghla est une streameuse française très connue, suivie par des centaines de milliers de personnes. Elle a dénoncé le harcèlement subi par les femmes sur des plateformes comme YouTube ou Twitch. Cette semaine, avec d’autres, elle a fait part de son ras-le-bol et elle a témoigné des violences quotidiennes qu’elle a subies et des conséquences psychologiques qui en  découlent.  Les témoignages de ces femmes sont très durs. Elles font état de menaces de viol  et de mort. Elles évoquent aussi les «dick pics», photos accompagnées de messages CRI N°5 extrêmement violents. Ce phénomène est très inquiétant et les situations vécues par ces femmes sont horribles. Elles sont quotidiennement menacées dans le cadre de leur activité professionnelle. Si elles effectuent leur travail dans l’espace numérique, elles en subissent les conséquences dans la «vie réelle». Certaines font des dépressions, d’autres renoncent à leur activité pendant plusieurs mois pour se  relever de ces violences quotidiennes.  On pourrait croire que les jeunes femmes connues sur les réseaux sociaux vivent une forme d’émancipation. Mais dans les faits, elles passent leur temps à chasser des images d’elles apparaissant dans des montages pornographiques sur des forums, ainsi que des commentaires violents. Ce problème n’est pas l’apanage de la France puisque nous devons également y faire face en Belgique. Manonolita, une streameuse belge, a ainsi subi ce genre de violences il y a un an et, malheureusement, rien n’a changé à ce jour.  Pourtant, en sa séance plénière du 1‘ décembre 2021, notre Parlement a voté une proposition de résolution relative aux violences faites aux femmes dans les environnements numériques. Ce texte était porteur de nombreuses promesses. Madame la Ministre, quelles actions avez-vous entreprises depuis pour lutter contre  ces violences ?",Interculturalité et Egalité des Chances 
Violences dans les stades causées par des «pseudos,"samedi dernier, lors du match du Royal Charleroi Sporting Club contre la FC Malines, un débordement a eu lieu et l’arbitre a dû interrompre le match à la 67° minute à cause de jets de fumigènes. Les débordements de ce type, encore trop fréquents dans les stades, créent des malaises et ternissent l’image du football. De tels incidents pourraient déboucher sur des débordements encore plus conséquents, voire des accidents tragiques.  Madame la Ministre, la Fédération Wallonie-Bruxelles mène-t-elle des actions de sensibilisation envers les clubs des supporters? Votre administration est-elle en contact avec les clubs de supporters reconnus? La Pro League a convoqué tous les clubs de première division pour une réunion d’urgence à la suite des débordements. Ÿ avez-vous été conviée? Si oui, qu’en est-il ressorti? La ministre fédéral de l’Intérieur compte renforcer la loi «Football». À nouveau, avez-vous  été sollicitée et associée à ce projet? Le football est un sport populaire et il est CRI N°6 donc essentiel de tout mettre en œuvre pour empêcher que ces pseudo-groupes  de supporters nuisent au bon déroulement des matches",Jeunesse et Sport 
Appel à l’aide des juges de la jeunesse à Bruxelles,"Madame la Ministre, 513 enfants en danger! C’est le cri d'alarme lancé par les juges de la jeunesse et les substituts du procureur du Roi. Ces enfants sont en danger parce qu’ils attendent d’intégrer un service résidentiel général. Pourtant, faute de moyens et de places tant dans les services d’hébergement que dans les services d'accompagnement en accueil familial, ils se retrouvent inscrits sur des listes d’attente. Les acteurs de terrain tentent de trouver des  solutions temporaires en attendant que des places se libèrent.  Outre le sentiment d'insécurité et d'abandon ressenti par ces jeunes, le ballottage d’un service à l’autre induit un sentiment d’instabilité permanent à court et à moyen termes. Cette instabilité a des conséquences désastreuses sur les plans physique et psychique. CRI N°5 La Fédération Wallonie-Bruxelles consacre d'importants moyens au secteur de l’aide à la jeunesse. Le chantier est énorme. Comment comptez-vous optimaliser ces moyens”? Quelles solutions envisagez-vous d’apporter à la demande croissante en places d’accueil? Quelles mesures d’urgence comptez-vous prendre pour placer ces 913 enfants? Enfin, comment respecterez-vous les dispositions de la Convention internationale des droits de l’enfant , qui impose de tout mettre en  œuvre pour protéger les enfants de la meilleure manière possible?",Jeunesse et Sport 
Football: l’Ecosse bannit le jeu de tête à la veille et au lendemain des matchs,"La Coupe du monde bat son plein. Selon un article de presse, le jeu de tête au football peut provoquer des séquelles importantes sur le cerveau, notamment des pertes de mémoire et des risques de maladies neurodégénératives. Dans ce cadre, la fédération écossaise de football a pris des mesures pour protéger ses footballeurs, notamment en interdisant aux joueurs de frapper le ballon de la tête, durant les entraînements, les jours qui précèdent et suivent les matchs. Cette disposition existe depuis 2020 pour les équipes d’enfants et de jeunes.  Madame la Ministre, le football écossais n’est pas tout à fait comme le nôtre. Il est en effet plus engagé et physique; le jeu aérien y prend toute son ampleur. Des études similaires sur cette question sont-elles menées en Fédération Wallonie-Bruxelles? Dans l’affirmative, quels en sont les résultats? Disposez-vous de statistiques concernant le nombre de commotions cérébrales au football? Avezvous rencontré à ce propos les acteurs du football francophone? Les formateurs dans cette discipline ont-ils été sensibilisés aux effets néfastes du jeu de tête? Il  y va de la santé de nos sportives et de nos sportifs.",Jeunesse et Sport 
"Accueil  es MENA, 20 adolescents à la rue","Une nouvelle étape a été franchie ce mardi dans la crise de l’accueil des étrangers. L'Agence fédérale pour l’accueil des demandeurs d’asile n’a pas trouvé de solution de logement ou d'hébergement pour vingt mineurs étrangers non accompagnés . Le manque de places est dû à un afflux record d'étrangers demandeurs de la protection internationale dans notre pays. Si le contexte international actuel explique cette situation, il ne peut en aucun cas être une excuse. Vingt MENA ont dû passer la nuit dehors.  C’est intolérable!  Certes, l’accueil des migrants est une compétence fédérale et la crise migratoire actuelle bat des records, du fait également de la malheureuse arrivée au pouvoir des Talibans en Afghanistan. Cependant, la Fédération Wallonie-Bruxelles est liée à Fedasil par une convention de co-financement qui prévoit la création de 130 places, au maximum, dans les centres d'hébergement. Nous ne pouvons  donc pas rester spectateurs devant ces situations dramatiques.  Madame la Ministre, avez-vous été sollicitée par Fedasil pour accueillir en urgence les vingt MENA qui sont livrés à eux-mêmes? Quelle analyse faites-vous CRI N°4 de la situation? Qu'en est-il des 130 places mises à disposition par la Fédération? Sont-elles toutes occupées? Une réflexion est-elle en cours, avec Fedasil  notamment, pour la création de nouvelles places?  Par ailleurs, une problématique additionnelle est le manque de familles  d'accueil d'urgence. Quelle action menez-vous dans ce domaine? ",Jeunesse et Sport 
Wallonie-Bruxelles International dans le viseur de la justice et des enquêteurs de l’Office central pour la répression de la corruption,"Irrégularités dans les marchés publics, emplois fictifs, prise illégale d’intérêts, piratage informatique, surveillance sur internet, harcèlement moral... N’en jetez plus, la coupe est pleine! Plusieurs enquêtes portant sur tous ces faits seraient aujourd’hui menées au sein de Wallonie-Bruxelles International . Il s’agirait d'enquêtes externes menées par l'Office central pour la répression de la corruption et le parquet de  Bruxelles.  Madame la Ministre, M. Jeholet a-t-il connaissance de ces faits? L’agence WBI est-elle informée de l’ouverture de ces enquêtes? Comment les services du ministre-président ont-ils réagi? Quelles décisions ont-elles été prises en termes de  gestion et, le cas échéant, d’écartement ?",Politique et International
La pilule du lendemain bientôt délivrée par les centres PMS dans les écoles?,"La Commission nationale d'évaluation de l'interruption de grossesse a rédigé un rapport comprenant des recommandations, dont l’accès à la contraception d’urgence. La pilule du lendemain pourrait d'ici quelque temps être délivrée dans les centres de planning familial ou dans les écoles par les centres PMS ou les services de promotion de la santé à l’école . Ce rapport sera examiné le 19 avril à la Chambre, pour ensuite être analysé au sein des trois Communautés.  Madame la Ministre, avez-vous pris connaissance de ce rapport? Avez-vous pu l’analyser? Que pensez-vous de la délivrance de la pilule du lendemain dans les  écoles par les centres PMS?  L'accès à la contraception d’urgence est très important. Sa délivrance dans les centres de planning familial et les écoles ne représente-t-elle pas néanmoins un risque de banalisation de la pilule du lendemain qui, il faut le rappeler, n’est pas  un moyen de contraception?  Enfin, quelles nouvelles mesures de prévention peuvent-elles être prises afin de  diminuer le nombre d’interruptions volontaires de grossesse ? ",Santé
Fusion  e l’hôpital du Sart-Tilman avec celui de la Citadelle de Liège,"urant la précédente législature, le gouvernement fédéral a décidé d’une refonte du paysage hospitalier pour réaliser plus  d'économies d’échelle et, in fine, améliorer l’offre de soins aux patients. AuCRI N°3 jourd’hui, il est beaucoup question de la crise énergétique et de l’augmentation des coûts. La récente réforme du financement des hôpitaux s’inscrit aussi dans  ce contexte.  À Liège, j'entends depuis longtemps cette rumeur concernant le rapprochement ou la fusion entre le Centre hospitalier universitaire de Liège et le Centre hospitalier régional de la Citadelle. Les deux hôpitaux ont déjà développé des synergies dans les départements de la pédiatrie, de gynécologie et de neurologie. Depuis une semaine, la question a resurgi avec force dans les médias qui annoncent une fusion. Il y a quelques jours, ce point figurait d’ailleurs à l’ordre du jour du conseil d'administration du CHR de la Citadelle. Il est prévu de réunir des groupes de travail et l’entérinement de la fusion est annoncé pour le mois  de décembre prochain.  Or, le CHU de Liège dépend encore en partie de la Fédération WallonieBruxelles, notamment pour les infrastructures et les investissements, entre autres dans les outils médicaux comme les PET-scan. Êtes-vous informée de cette décision, Madame la Ministre? Ÿ avez-vous été associée? Comment la concertation a-t-elle eu lieu dans le cadre de ces discussions? Quel impact aurait  cette éventuelle fusion sur les compétences de la Fédération Wallonie-Bruxelles ?",Santé
La Fédération Wallonie-Bruxelles débloque un million d’euros par an pour lutter contre les expérimentations animales,"Le bien-être animal étant une compétence régionale, ce sujet est régulièrement abordé dans les assemblées régionales. J’en parle ici aujourd’hui, car, grâce à votre action, un montant conséquent est inscrit dans le budget de la Fédération Wallonie-Bruxelles pour développer des alternatives à l’expérimentation animale dans les hautes écoles et les universités.  Madame la Ministre, comment cet important budget sera-t-il utilisé? Comment  sera-t-il réparti? Quelles alternatives sont-elles envisagées? Aujourd’hui, selon CRI N°4 mes sources, il est question de 400 à 500 000 animaux qui passent par les lieux de recherche et d’expérimentation chaque année. Certains de ces animaux sont utilisés pour la santé humaine, ce qui restera toujours une priorité, malgré la sensibilité à la cause animale. Néanmoins, votre mesure est une bonne nouvelle.  Comment comptez-vous mener les actions qui en découlent ?",Santé
Vague d’exécutions de manifestants en Iran,"«Je suis condamné à mort, mais ne le dis pas à maman», tels sont les derniers mots de Mohammad Mehdi Karami avant son exécution en Îran. Il est la 17° personne condamnée à mort depuis le 16 septembre 2022 en raison de sa participation aux manifestations qui font suite à l’assassinat de Mahsa Amini. Par cette vague d’exécutions, l'Iran montre  son vrai visage: un tyran d’une cruauté invraisemblable.  Le 26 octobre 2022, le Parlement a adopté une proposition de résolution relative à la protection des droits des femmes et des personnes LGBTQIA+, et plus largement des droits humains, en Iran et condamnant la répression des manifestations. Monsieur le Ministre-Président, quelle est la situation en Iran? Quel suivi  est donné à la résolution ?  Par ailleurs, Olivier Vandecasteele, un citoyen belge, est détenu en Iran dans des conditions extrêmement difficiles. À l’issue d’un simulacre de procès, il a été condamné à 40 ans de prison et 74 coups de fouet par la justice iranienne. Quelles actions la Fédération Wallonie-Bruxelles peut-elle entreprendre pour soutenir M. Vandecasteele et comment se mobilise-t-elle pour mettre fin à cette  incarcération injuste? ",Politique et International
Drame à Ougrée et phénomène du grooming,"Ce vendredi 6 Janvier, une jeune anderlechq J J toise a perdu la vie à Ougrée. Les premiers éléments de l’enquête indiquent que l’agresseur présumé l’aurait contactée par la messagerie Snapchat, application qui est très appréciée par les jeunes et qui attire des prédateurs adultes voulant prendre contact avec des mineurs. Les mineurs y sont manipulés psychologiquement. Le phénomène du grooming prend de plus en plus d’ampleur. Ces jeunes ne sont pas conscients de ces méthodes de manipulation. P J P P En 2021, 43 cas de grooming ont été signalés par des parents ou des éducateurs 8 8 8 P P auprès de la Fondation pour enfants disparus et sexuellement exploités . Cependant, ce nombre est largement sous-estimé puisque ce phénomène P 8 puisq P  passe sous les radars, les jeunes n’ayant pas envie d’en parler.  Dans ce domaine, la sensibilisation et la prévention sont très importantes. Comment la Fédération Wallonie-Bruxelles appréhende-t-elle ce phénomène, Madame la Ministre? Quelles actions ont-elles été intensifiées? Child Focus a publié un jeu en ligne afin de sensibiliser les jeunes aux manipulations et aux méthodes utilisées par les groomers. Qu’en pensez-vous? Quels sont les retours des associations qui font de la prévention? Enfin, quelles mesures l'Office de la naissance et de l’enfance a-t-il prises, ou pourrait-il prendre, pour sensibiliser les parents?",Enfance
Enquête “Noir jaune blues” sur la démocratie et la gouvernance,"Une société toujours plus fragmentée, une défiance accrue vis-à-vis des institutions démocratiques et une attirance toujours plus  forte envers des régimes autoritaires: tels sont les constats dressés par la dernière CRI N°12 mn 1 —  enquête «Noir jaune blues» commanditée par la RTBF et publiée par le journal  «Le Soir».  Des trois coups de sonde qui ont été menés dans le cadre de cette enquête, avant et pendant la pandémie ainsi qu’en juillet 2022, soit après le début de la guerre en Ukraine, il ressort que 52 % des personnes sondées aspirent à ce que la société soit restructurée à partir de critères ethniques. Paradoxalement, un cinquième  des personnes sondées se disent favorables à une société plus ouverte.  Dans sa Déclaration de politique communautaire , le gouvernement de la Fédération Wallonie-Bruxelles s’est engagé à lutter contre la crise démocratique, notamment en tentant de placer les citoyens et les citoyennes au cœur de certains  processus de décision.  Monsieur le Ministre-Président, quel regard portez-vous sur cette enquête, sachant qu’elle fait l’objet de certaines réserves méthodologiques? Les constats dressés vont-ils vous conduire à revoir un certain nombre de dispositions relatives à la démocratie, à la citoyenneté et surtout à la bonne gouvernance? Quels seront les principaux chantiers finalisés dans ce domaine avant la fin de la législature? Enfin, entendez-vous prendre mesures de sensibilisation des citoyens désabusés, de quelque âge et de quelque condition qu'ils soient, de manière à les raccrocher  à la vie publique, voire à la noblesse de la vie politique? ",Politique et International
Les Libanais meurent de faim  et leur pays s’effondre,"Ce n’est un secret pour personne, la situation du Liban est catastrophique. La population souffre: presque deux millions de personnes sont à la rue et crient famine. Il n’y a plus de gouvernement depuis huit mois ni de président depuis trois mois. L’inflation est galopante et aucune solution ne semble se dessiner. L’absence d’une structure politique efficiente a pour conséquence que l’aide internationale ne peut être correctement organisée. Les réformes nécessaires ne sont pas entreprises puisqu'il n’y a plus personne pour prendre des décisions. Le pays du cèdre poursuit donc sa dégringolade. Sa situation est catastrophique et insupportable. pniq PP  Monsieur le Ministre-Président, je vous sais sensible et attentif à cette situation. Le gouvernement de la Fédération Wallonie-Bruxelles a d’ailleurs fait des efforts en dégageant 200 000 euros à travers l'UNICEF. Quelle est l’opinion de votre gouvernement sur la situation socio-économique du Liban? Quels efforts pourraient être consentis? Avez-vous pris contact ou collaboré avec le gouvernement fédéral sur ce dossier? Quels sont les retours de la Francophonie sur la dégradation de la situation du Liban? Des collaborations et des coopérations pourraient -elles être envisagées? Quel bilan tirez-vous de l’édition 2022 de Beyrouth Livres? D’autres coopérations culturelles pourraient-elles être établies pour que la Fédération Wallonie-Bruxelles puisse préserver le contact avec ce pays et jouer son  rôle en la matière? ",Politique et International
